Complexity,Loss,Equation
1,0.011583566,"x1"
3,0.011572536,"x1 * 0.99845284"
5,0.011566323,"(x1 - 0.0024974863) * 0.9984459"
6,0.011540782,"x1 * cos(x0 * 0.11067897)"
8,0.011517344,"cos((x1 * x0) * -0.050333224) * x1"
10,0.011507905,"cos(cos(x1) * (x0 - sin(x0))) * x1"
11,0.011502795,"x1 * sin(cos(x0 * (x1 * 0.21352075)) + 0.5785228)"
12,0.0115009155,"((cos(x0 * (x1 * 0.058503002)) + 0.0018607775) * x1) - 0.002812949"
13,0.011494622,"(x1 * sin(cos(x0 * (x1 * 0.21531278)) + 0.5800226)) - 0.0028622574"
15,0.011492149,"(x1 * sin(cos(((x1 * x0) * x0) * 0.20063971) + 0.56405026)) - 0.002961998"
16,0.011490092,"cos(((sin(x0 + x1) * (x0 + x1)) * 0.03152234) / cos(x0)) * x1"
17,0.0114815645,"x1 * cos(sin(sin(x1) - x0) * (((x1 + x0) * 0.033848744) / cos(x0)))"
18,0.011469767,"cos(((x0 + x1) * (sin((x1 * x0) - x0) / cos(x0))) * 0.029699061) * x1"
19,0.011462793,"x1 * cos((sin(x0 + (0.22680734 - sin(x1))) * ((x0 + x1) / cos(x0))) * -0.035753015)"
20,0.011460785,"x1 * cos(((0.035181694 / cos(x0)) * (x1 + x0)) * sin((x0 + 0.2164787) - sin(sin(x1))))"
