Complexity,Loss,Equation
1,38.614853,"0.028364956"
3,0.44790292,"x0 * -8.236127"
4,0.08947752,"-9.796033 * sin(x0)"
6,0.08938914,"sin(x0 * 1.0075417) * -9.747391"
8,0.077532426,"((x1 * 0.0051708454) + sin(x0)) * -9.799314"
10,0.07747143,"((x1 * 0.0051866835) + sin(x0 / 0.99384874)) * -9.75925"
12,0.07746577,"(((x1 * 0.005185385) + sin(x0 * 1.006247)) * -9.758968) + 0.0023797324"
13,0.07733242,"((cos(x1 * 0.03748148) * sin(x0)) + (x1 * 0.005142589)) * -9.819367"
15,0.077106215,"((x1 * 0.005121361) + sin(cos(x1 * (x0 * -0.06811826)) * x0)) * -9.828832"
16,0.07710166,"-9.828832 * ((0.005121361 * x1) + (cos(x1 * (-0.06811826 * sin(x0))) * sin(x0)))"
17,0.07697222,"((sin(x0) * -9.820636) + (x1 * -0.050390862)) * cos(x1 * ((x1 * -0.020347469) * x0))"
20,0.07697123,"((x1 * -0.050402742) + (sin(x0) * -9.821248)) * cos(x0 * (cos(x1 * -0.7596807) * (x1 * -0.09188879)))"
