Complexity,Loss,Equation
1,5.7378453e-5,"x1"
3,5.7313184e-5,"x1 + -0.00025352836"
5,5.7283105e-5,"(x1 * 0.99954796) + -0.00026176157"
7,5.7093035e-5,"x1 - (8.691675e-5 / (0.7534842 - x1))"
8,5.704528e-5,"x1 - (sin(x1 / -0.035478607) * 0.00040232216)"
9,5.7019104e-5,"x1 - (exp(sin(x1 / -0.035478607)) * 0.00040232216)"
10,5.6800673e-5,"x1 - (0.001081627 * sin((2.4943657 - x2) / x1))"
11,5.6795787e-5,"x1 - (sin(sin((2.4943657 - x2) / x1)) * 0.0010816265)"
12,5.6698766e-5,"x1 - ((x2 * 6.8236426e-5) * sin((2.4930167 - x2) / x1))"
14,5.668694e-5,"x1 - (x2 * (sin((1.2824203 - (x2 + -1.1791869)) / x1) * 6.9067275e-5))"
15,5.6588342e-5,"x1 - (((cos(x0) * x2) * 9.88747e-5) * sin((x2 - -2.841183) / x1))"
17,5.6522797e-5,"x1 - ((sin((1.2823358 - (x2 + -1.1793071)) / x1) * 0.00012173241) * (cos(x0) * x2))"
18,5.6509012e-5,"x1 - (((sin(sin((1.2823358 - (x2 + -1.1793071)) / x1)) * 0.00012173241) * cos(x0)) * x2)"
