Complexity,Loss,Equation
1,0.17947422,"-0.0045674792"
3,0.15360567,"x0 * -0.17291018"
4,0.117665455,"sin(x0) - x0"
6,0.048398312,"x0 * cos(x0 * -1.6522257)"
7,0.047798723,"(0.99016964 - (x0 * x0)) * x0"
8,0.043814808,"x0 * ((0.565475 - cos(x0)) * -2.013419)"
9,0.042506978,"x0 * sin(cos(x1) - (x0 * x0))"
10,0.041537967,"((cos(x1) - (x0 * x0)) * x0) * 0.8339871"
11,0.037964754,"x0 * (exp(0.22176665 * cos(x2)) - (x0 * x0))"
12,0.036419496,"x0 * (exp(0.22176665 * sin(cos(x2))) - (x0 * x0))"
13,0.032775193,"x0 * (cos((cos(x2) + -1.0628129) * x1) - (x0 * x0))"
14,0.03126072,"x0 * sin(cos((cos(x2) + -1.0943298) * x1) - (x0 * x0))"
15,0.030205745,"x0 * (cos((-1.1873093 + cos(-0.97566384 * x2)) * x1) - (x0 * x0))"
16,0.028758988,"x0 * sin(cos((-1.1873093 + cos(-0.97566384 * x2)) * x1) - (x0 * x0))"
18,0.028627675,"x0 * ((cos((cos(x2) * x1) + sin(x1 / -0.6795163)) - (x0 * x0)) - -0.0660122)"
19,0.026386652,"x0 * ((cos((x1 / -0.74710315) + (x1 * cos(x2 * -0.9758216))) - (x0 * x0)) - -0.06606024)"
20,0.025581568,"x0 * ((cos(sin(x1 / -0.5898206) + (cos(x2 * -0.97918534) * x1)) - (x0 * x0)) - -0.09664551)"
