Complexity,Loss,Equation
1,7.1016e-7,"x1"
3,7.0123343e-7,"x1 * 0.99993587"
5,7.011927e-7,"(x1 + 6.0948187e-6) * 0.99993616"
6,6.913348e-7,"(1.6048938e-5 / exp(x1)) + x1"
8,1.5768896e-7,"x1 + (2.0997627e-6 / (0.107903436 - cos(x0)))"
10,1.07811374e-7,"x1 + ((x1 / cos(x0 + 0.10807376)) * -1.401216e-7)"
11,1.06959384e-7,"x1 + ((exp(x0) * -1.0771864e-7) / cos(x0 + 0.108074285))"
12,9.5775796e-8,"(x1 * ((-1.5505259e-7 / cos(x0 + 0.10807392)) + -8.380337e-5)) + x1"
14,9.091752e-8,"(x1 * (((x1 * -4.590942e-8) / cos(x0 + 0.10807392)) + -8.380337e-5)) + x1"
15,8.903279e-8,"x1 + ((x1 - sin(x1)) * ((2.4850476e-6 / cos(x0 + 0.10790228)) - 0.000130964))"
17,5.5709233e-8,"(((-4.8366033e-8 / cos(x0 + 0.10807432)) + -7.023619e-5) * (x1 * (x1 * sin(x0)))) + x1"
18,5.5571437e-8,"(sin(sin(x0)) * ((((-5.7054137e-8 / cos(x0 + 0.10807436)) + -8.0385624e-5) * x1) * x1)) + x1"
