Complexity,Loss,Equation
1,0.0009010949,"x1"
3,0.0009002397,"x1 + 0.0009215838"
5,0.0008994835,"(x1 * 0.9994136) + 0.00091391057"
7,0.00089765125,"(cos(exp(x1)) * 0.002630417) + x1"
8,0.00089148094,"x1 + (sin(-1.1871897 / x1) * 0.0046727746)"
10,0.0008853946,"x1 * cos(exp(x0 / exp(x1)) / -100.62414)"
11,0.0008852828,"cos(exp(x0 / exp(sin(x1))) / -68.94529) * x1"
12,0.0008615903,"x1 * cos((x0 / exp(x1 * exp(x0))) / -68.94529)"
14,0.00081240153,"(cos(((x1 + (x1 - x0)) / -0.13402696) + -1.5494512) * 0.015068704) + x1"
15,0.0008031292,"x1 + (cos(((x1 + (sin(x1) - x0)) / -0.13266563) + -1.5494851) * 0.014585563)"
16,0.0007791728,"(cos((x1 + ((x1 + (x1 - x0)) / 0.09063156)) + -1.6566792) * 0.015606391) + x1"
