Complexity,Loss,Equation
1,10.1782055,"0.103444986"
3,8.269455,"x0 * -0.94127667"
4,7.9188504,"x1 * cos(x0)"
6,5.7493668,"cos(x0 / -0.56779766) * x1"
7,4.1355634,"x1 - ((x0 * x1) * x0)"
8,2.2631104,"(x1 / 0.19611779) * (-0.5765082 + cos(x0))"
9,2.0889146,"(x0 * (-0.9519021 - (x0 * x1))) + x1"
10,0.10308061,"((x1 * (cos(x0) + -0.57640874)) / 0.19604895) - x0"
11,0.04133346,"((x0 * (-0.502735 - (x1 * x0))) + x1) * 1.9949764"
13,0.041301977,"(x0 * ((x0 * (x1 * -1.9951077)) + -1.0030038)) + (x1 * 1.9913179)"
15,0.041297987,"(((x0 * (-0.50381035 - ((x0 * x1) * 1.0020216))) + x1) / 0.50228757) + -0.0020475383"
17,0.041297805,"((x1 + ((x0 / -0.9980761) * (x1 * x0))) / 0.5022006) - ((x0 + 0.0019536102) / 0.9970336)"
18,0.04120009,"(((x1 + (x0 * ((x1 / -0.99801826) * x0))) / 0.5021376) - x0) / exp(x1 * -0.0014533439)"
19,0.04099394,"((((((x0 * x0) * x1) / -0.99222696) + x1) / 0.50712) - x0) / exp(cos(x0) * -0.015846716)"
20,0.04097914,"(((((x0 * (x0 * x1)) / -0.99238014) + x1) / 0.5068551) - x0) / exp(sin(cos(x0)) * -0.017698433)"
