Complexity,Loss,Equation
1,0.005513635,"x1"
3,0.005504781,"x1 * 0.99798304"
5,0.0055047297,"(x1 + 0.0002382482) * 0.9979926"
6,0.0055012256,"cos(x0 * -0.05882323) * x1"
7,0.0054857065,"x1 * cos(sin(x1) * 0.12556016)"
8,0.0053412323,"x1 - (sin(x1 / -0.13182057) * 0.019210983)"
10,0.005052473,"(sin((x0 - x1) / 0.16237564) * 0.035123378) + x1"
12,0.0047957394,"(x0 * (0.028758354 * sin(4.6381745 * (x0 * x1)))) + x1"
13,0.004755185,"x1 + (sin(x0) * (sin(x0 * (x1 * 4.449381)) * 0.051646832))"
14,0.004450071,"x1 + (sin((1.129014 - (x0 * (x0 * -2.5837998))) * x1) * 0.053391334)"
16,0.0042437287,"(sin(x1 * (-0.39670396 - ((x0 * (x0 - x1)) * -2.2257621))) * 0.058494568) + x1"
19,0.0041488484,"x1 + (sin(sin(x1 * -1.1080678) - ((x1 * (x0 * -2.4599872)) * (x0 - x1))) * 0.06017963)"
