Complexity,Loss,Equation
1,0.0065076225,"0.033340506"
4,0.00053317373,"x1 / exp(x0)"
6,0.00025673423,"cos(x1 * -1.5699689) * x1"
7,0.00024083171,"sin(x1 * cos(x1 * -1.5698526))"
8,0.00022959242,"sin(sin(x1 * cos(x1 * 1.5697504)))"
9,0.00016270195,"sin(cos(x1 * -1.5701869)) * (x1 + 0.038838457)"
10,0.00012150393,"sin(sin(cos(x1 * -1.5702358))) * (x1 + 0.06269719)"
11,9.931678e-5,"(x1 + 0.08444717) * sin(sin(sin(cos(x1 * -1.5702885))))"
12,7.870182e-5,"(x1 * (cos((x1 * x1) * -1.7565057) * 0.4855789)) + 0.09029152"
13,7.465586e-5,"(cos((x1 * -1.56923) * x1) * (sin(x1) + 0.15323766)) * 0.5395203"
14,7.453812e-5,"sin(((sin(x1) * 0.5498064) + 0.08231724) * cos((x1 * x1) * -1.5693474))"
16,3.1944517e-5,"((((x0 * -0.03160896) + 0.53370476) * x1) + 0.08366732) * cos(x1 * (x1 * -1.5650947))"
17,2.9491399e-5,"((x0 * -0.02983343) + 0.5743135) * sin(cos((x1 * -1.5665622) * x1) * (x1 + 0.14329214))"
18,2.825552e-5,"(sin(x0 * -0.03402526) + 0.57978237) * sin((x1 + 0.1412038) * cos((x1 * -1.5658838) * x1))"
19,2.693809e-5,"(sin(sin(x0 * -0.03963826)) + 0.5872866) * sin(cos(x1 * (x1 * -1.5649295)) * (x1 + 0.13741352))"
20,2.5781219e-5,"(sin(sin(sin(x0 * -0.04516709))) + 0.5944845) * sin((x1 + 0.13443573) * cos(x1 * (x1 * -1.5641737)))"
