Complexity,Loss,Equation
1,3277.9973,"-0.07046098"
2,3276.3564,"cos(x2)"
3,2987.8354,"x0 * -2.0904756"
4,2739.2341,"exp(x0 * -0.31013912)"
5,14.728458,"(27.039253 - x2) * x0"
7,6.3728476,"(x0 * -0.94994855) * (x2 + -26.894678)"
9,0.056982126,"(((x2 * -0.9962688) + 27.896236) * x0) - x1"
11,0.047625892,"((x0 * (x2 + -27.96159)) * -0.9945528) - (x1 * 0.96296495)"
13,0.047371157,"(x0 * ((x2 + -27.96041) * -0.99450415)) + ((-0.01740016 - x1) * 0.96242124)"
14,0.021935206,"((x0 * (x2 + -27.920687)) * -0.9928288) - (x1 + sin(x1 * -0.106073625))"
16,0.021726761,"((x2 + -27.921066) * (x0 * -0.99284333)) - ((sin(x1 * -0.106928475) + x1) - 0.015573557)"
18,0.020895135,"((-0.99274224 * x0) * (x2 + -27.921041)) - (sin(((-0.163383 / x2) + -0.09759147) * x1) + x1)"
19,0.016974233,"(x0 * ((x2 + -27.920889) * -0.9928396)) - (sin((x1 - sin(x0 * -0.44451326)) * -0.1052146) + x1)"
