Complexity,Loss,Equation
1,3277.9973,"-0.063142695"
2,3276.668,"cos(x2)"
3,2987.7446,"x0 * -2.0888822"
4,2740.3904,"exp(x0 * -0.30944994)"
5,17.433573,"x0 * (27.003746 - x2)"
7,3.3891869,"((28.003645 - x2) * x0) - x1"
9,3.3271282,"((x0 * (27.994102 - x2)) - x1) * 0.9954606"
11,3.2814293,"((x0 * (27.907923 - x2)) * 0.9918733) - (x1 / 1.09417)"
13,3.2801578,"(((x0 * 0.9917828) * (27.905724 - x2)) + -0.03739392) - (x1 * 0.91312724)"
14,3.2546723,"sin(x1 * 0.10273782) + (((x0 * (27.91143 - x2)) - x1) / 1.0080599)"
16,3.2542892,"((((27.911295 - x2) * (x0 + 0.0024083094)) - x1) / 1.0080757) + sin(x1 * 0.1031025)"
17,3.2514374,"((((27.912245 - x2) * x0) - x1) / 1.0080793) - sin(-0.100421585 * (x1 + sin(x2)))"
18,3.231086,"((((27.912407 - x2) * x0) - x1) / 1.0105364) - (sin(x1 / (x2 + 1.2149237)) * -1.9191704)"
19,3.22107,"((((27.912407 - x2) * x0) - x1) / 1.0105364) - (sin(x1 / (x2 + sin(x2))) * -1.9191704)"
