Complexity,Loss,Equation
1,4709.656,"0.672997"
2,4704.951,"sin(x0)"
3,4668.053,"x1 / x0"
4,3517.4023,"exp(x1 * -0.26062062)"
5,410.88458,"(x1 * x0) - 65.74624"
7,4.5209446,"(x0 * x1) - (2.6683204 * x2)"
9,4.4168158,"((x0 * x1) * 0.9953178) - (x2 * 2.6557755)"
11,4.409292,"(((x1 + 0.011177671) * x0) * 0.9953166) - (x2 * 2.6547456)"
13,4.4059677,"((((x1 + 0.011174008) * (x0 * 0.37389523)) - x2) * 2.6619797) + 0.19605015"
15,4.4038157,"((((x0 * 0.9953063) + -0.0124002155) * (x1 - -0.023646403)) - (x2 * 2.6620815)) + 0.19778469"
17,4.403813,"(((((x0 + -0.012498055) * (x1 + 1.0283885)) * 0.9953018) - (x2 * 2.6620145)) - x0) + 0.20969139"
18,4.378841,"(((x1 + (x2 - x2)) - sin(x1 * -0.047138516)) * (x0 * 0.95630234)) - (x2 * 2.664472)"
