Complexity,Loss,Equation
1,4709.656,"0.66637826"
2,4705.105,"sin(x0)"
3,4704.066,"exp(sin(x0))"
4,3523.302,"exp(x1 * -0.26119772)"
5,423.68826,"(x0 * x1) + -65.70605"
7,26.45703,"(x2 * -2.6642272) + (x1 * x0)"
9,26.214111,"(x0 * (x1 / 1.0072038)) + (x2 * -2.6450834)"
11,26.187433,"(((x0 * x1) + -0.5605037) + (x2 * -2.6433585)) * 0.99290323"
12,26.109898,"(x2 * -2.66228) + (x1 * ((exp(x0) * -2.1950157e-9) + x0))"
14,25.988447,"((x2 * -2.6630282) + (x1 * (x0 + (exp(x0) * -1.7374535e-9)))) / 1.0079131"
16,25.923698,"((x2 * -2.6207495) + (((exp(x0) * -2.0812998e-9) + x0) * (x1 / 1.0057199))) + -0.70780504"
17,25.9199,"((x2 * -2.6207495) + -0.72363615) + ((x0 + sin(exp(x0) * -2.2093374e-9)) * (x1 / 1.0057199))"
19,25.919865,"(x2 * -2.6207495) + (((0.07630822 - 0.79994434) + ((x0 + sin(exp(x0) * -2.2093374e-9)) * x1)) / 1.0057199)"
