Complexity,Loss,Equation
1,63.71256,"-0.031929415"
2,63.58093,"cos(x1)"
3,60.639683,"x0 * 0.429616"
4,54.131496,"cos(x1) * x2"
5,1.0309594,"(x0 - 5.6485524) * x2"
7,0.99694717,"0.18868726 - ((5.6637926 - x0) * x2)"
8,0.9154953,"sin(x2) - (x2 * (5.659965 - x0))"
9,0.9035041,"sin(sin(x2)) - (x2 * (5.658444 - x0))"
10,0.5774471,"sin(5.617551 * x2) - (x2 * (5.6613574 - x0))"
12,0.45834193,"((x2 / exp(x2)) - x2) * ((x0 * -0.99963623) - -5.6612983)"
13,0.42187023,"((sin(x2) / exp(x2)) - x2) * ((x0 * -0.99961036) - -5.6611466)"
14,0.3630817,"(sin(x2 * 5.22071) - (x2 * 4.734248)) * ((x0 * -0.20970483) - -1.1872127)"
16,0.36258674,"((sin(x2 * 5.220806) - (x2 * 4.7590356)) * ((x0 * -0.20860907) - -1.1814067)) + 0.023235086"
18,0.35895687,"(((x0 * -0.20649241) - -1.1724893) - (0.04518281 / x2)) * (sin(5.221315 * x2) - (x2 * 4.8082976))"
19,0.3501342,"((x2 / exp(x2)) + (sin(x2 * 5.2192183) - (x2 * 5.692614))) * ((x0 * -0.17469564) - -0.98911303)"
20,0.3500005,"((sin(x2) / exp(x2)) + (sin(x2 * 5.2192183) - (x2 * 5.692614))) * ((x0 * -0.17469564) - -0.98911303)"
