Complexity,Loss,Equation
1,8.668435e-9,"x1"
3,8.537034e-9,"x1 * 0.9999838"
5,8.535009e-9,"(x1 + -1.3989325e-6) * 0.99998367"
7,8.53173e-9,"(x0 * -3.2654818e-6) + (x1 * 0.99998367)"
9,8.527919e-9,"(((x1 * 6.6627385e-6) + 0.9999836) * x1) + -4.5512975e-6"
10,8.52664e-9,"((cos(x1 + x1) * -5.825912e-6) + x1) * 0.9999839"
11,8.523709e-9,"((x0 * ((x0 * -4.6797936e-6) - 3.541842e-6)) + x1) * 0.9999836"
12,8.522024e-9,"(x0 * ((cos(x1) + x0) * -4.5512975e-6)) + (x1 * 0.9999836)"
13,8.51988e-9,"(x1 + (((x0 + 0.86131096) * (x0 * x0)) * -5.535687e-6)) * 0.9999836"
14,8.5156335e-9,"(cos(x1 + x1) * ((x0 - -1.2733796) * -4.5512975e-6)) + (x1 * 0.9999836)"
15,8.514062e-9,"x1 + (cos(cos(x0 + (x1 - -0.7237556)) - (x1 - 0.72718227)) * -1.7206874e-5)"
16,8.513677e-9,"(((cos((x1 + -0.06385621) + x1) * -7.193657e-6) * (x0 - -0.8887999)) + x1) * 0.9999842"
17,8.512147e-9,"0.9999836 * (x1 + ((x0 + cos(x1 + x1)) * (-6.120672e-6 * cos(x1 + x1))))"
18,8.504896e-9,"x1 + (cos(cos((x1 + 0.775948) * (1.2662102 + x0)) - (x1 - cos(x0))) * -1.6037056e-5)"
