Complexity,Loss,Equation
1,0.49637622,"0.032688197"
3,0.0012244608,"x0 * -0.9974208"
5,0.001223636,"-0.00090954336 - (x0 * 0.99748325)"
6,0.0012092439,"sin(x0 * 0.3579041) * -2.832196"
7,0.00070471544,"cos(x1) * sin(x0 * -1.715821)"
8,0.0006153351,"cos(x1) * sin(sin(x0) * -1.8363925)"
10,0.000611431,"cos(x1 * -0.9747406) * sin(sin(x0) * -1.7804666)"
12,0.00060947746,"(x0 * -0.15871204) + (cos(x1) * sin(sin(x0 * -1.5687323)))"
14,0.00060704706,"(cos(x1 - (x1 * -0.046968784)) + 0.19584648) * sin(sin(x0 * -1.4508394))"
18,0.0006068168,"(x0 * -0.15988348) + (cos(0.0024523162 - (x1 + (x1 * 0.027610965))) * sin(sin(x0 * -1.635304)))"
20,0.0006060044,"(x0 * -0.15988348) + (cos(0.0024523162 - (x1 + (x1 * 0.027610965))) * sin(sin((x0 - -0.0019581674) * -1.635304)))"
