Complexity,Loss,Equation
1,38.614853,"0.028231129"
3,0.35301822,"x0 * -8.252778"
4,0.01162207,"sin(x0) * -9.805442"
6,0.011619774,"(sin(x0) * -9.80543) - -0.0015152163"
8,0.011616636,"(cos(x0 + 1.5716205) * 9.805446) - -0.007512543"
10,6.5732144e-7,"(x1 * -0.049986735) + (cos(x0 + 1.5707945) * 9.808568)"
12,6.573211e-7,"((cos(x0 + 1.5707945) + (x1 * 0.09685548)) * 9.808565) - x1"
14,5.27155e-7,"(((x1 * 0.005099568) - (x0 * -0.00052372017)) - cos(x0 + -4.7123914)) * -9.802519"
15,5.271245e-7,"(sin((x1 * 0.005099897) - (x0 * -0.00052385736)) - cos(x0 + -4.7123914)) * -9.802519"
16,4.922391e-7,"(x1 * (-0.049979735 - ((x1 * -0.0001854575) * x0))) - (cos(x0 + -4.7123904) * -9.8091755)"
17,4.819859e-7,"((-0.04998107 - ((sin(x0) * -0.0002069092) * x1)) * x1) - (cos(x0 + -4.7123914) * -9.809166)"
18,4.779742e-7,"(x1 * (-0.049981337 - ((sin(sin(x0)) * -0.00022098035) * x1))) - (cos(x0 + -4.7123904) * -9.809154)"
19,4.6846702e-7,"((-0.049982637 - (x1 * (sin(x0 + x0) * -0.00013093381))) * x1) - (cos(x0 + -4.7123904) * -9.809089)"
20,4.6839716e-7,"(sin(-0.05000422 - (((cos(x0) * x0) * -0.00024766914) * x1)) * x1) - (cos(x0 + -4.7123914) * -9.809105)"
