Complexity,Loss,Equation
1,0.0019070198,"x1"
3,0.0019057022,"x1 * 0.9994674"
5,0.0019050445,"(x1 - 0.000811465) * 0.999463"
6,0.0019039985,"cos(x1 * -0.013121401) * x1"
7,0.0019038351,"(x1 - (x0 * 0.0018232429)) * 0.9994545"
8,0.0019022656,"cos((x1 + x0) * -0.014443469) * x1"
10,0.0019007348,"cos(((x1 + x0) - -0.7637017) * -0.014443469) * x1"
11,0.001900084,"(x1 - (sin(x0 - sin(x1)) * 0.003712941)) * 0.99906373"
12,0.0018993001,"(x1 - ((x0 - sin(x0 + x1)) * 0.002806965)) * 0.9991088"
13,0.0018981639,"(x1 - (sin(x0 - cos(0.9393686 - x1)) * 0.0041744523)) * 0.9990905"
14,0.0018974487,"(x1 * 0.99911463) - ((x0 - cos(-1.0251168 + (x1 + x0))) * 0.0031139192)"
15,0.0018967689,"(x1 - (sin(x0 - cos((x1 - 1.0697256) + x0)) * 0.0045450157)) * 0.999128"
16,0.0018962761,"(x1 * 0.9990881) - (sin(sin(x0) - cos((x0 + x1) - 1.0435507)) * 0.0048463787)"
17,0.0018961395,"(x1 * 0.9990803) - ((x0 - cos(x1 + (x0 - 1.0212983))) * (cos(x0) * 0.004584904))"
18,0.0018958816,"(x1 - (sin(x0 - cos((x0 - (cos(x1) + 1.0699185)) + x1)) * 0.0047254707)) * 0.9991328"
19,0.0018953967,"(x1 * 0.9991039) - (sin(sin(x0) - cos((cos(x1) + 1.0658634) - (x1 + x0))) * 0.0050458973)"
20,0.0018950927,"(x1 - (sin(sin(x0) - cos((cos(x1) + cos(x0)) - (x0 + x1))) * 0.005287609)) * 0.9991683"
