Complexity,Loss,Equation
1,38.614853,"0.028718766"
3,0.3686368,"x0 * -8.248179"
4,0.024338929,"sin(x0) * -9.802405"
6,0.024330545,"sin(x0 * 1.0024107) * -9.786705"
8,0.013239752,"(x1 * -0.048840508) - (sin(x0) * 9.805284)"
10,0.013232388,"(x1 * -0.048851) - (sin(-0.0003575516 - x0) * -9.8053055)"
12,0.013224675,"((x1 * ((x1 * -6.368842e-5) - 0.0049878145)) - sin(x0)) * 9.805303"
13,0.0132222725,"(((cos(x1) * 0.0005978642) - (x1 * 0.0049842414)) - sin(x0)) * 9.805247"
15,0.013219213,"(((sin(x1 + 1.1143134) * 0.0006705229) - (x1 * 0.0050336216)) - sin(x0)) * 9.805206"
17,0.013215487,"(((cos(x1 * (x1 * x1)) * 0.00071345794) - (x1 * 0.005047395)) - sin(x0)) * 9.805122"
18,0.013213259,"((0.009580551 * cos(x1 + -0.586302)) * cos(x0)) - ((0.049417134 * x1) - (sin(x0) * -9.805272))"
19,0.01321297,"(((((1.0938604 - x0) * 0.00057647127) * cos(x1 + -0.3980786)) - (x1 * 0.005024431)) - sin(x0)) * 9.804273"
20,0.013207635,"(((cos(-0.41459894 - x0) * cos(x1 + -0.41459206)) * 0.010714957) - (x1 * 0.049331196)) - (sin(x0) * 9.804743)"
