Complexity,Loss,Equation
1,0.011583566,"x1"
3,0.011572536,"x1 * 0.99847054"
5,0.011566323,"(x1 + -0.002497615) * 0.998446"
6,0.011540782,"cos(x0 * -0.11068786) * x1"
8,0.011517344,"cos((x1 * 0.050483707) * x0) * x1"
10,0.011507905,"x1 * cos((x0 - sin(x0)) * cos(x1))"
12,0.011499627,"cos((sin(x0) - x0) * cos(x1)) * (x1 + -0.0028898781)"
14,0.01149409,"(cos(x1 * ((x1 * (x0 * 0.021283785)) * x0)) * x1) + -0.002821794"
15,0.011483056,"x1 * cos(x1 * (x0 * (cos((x0 * 0.78297764) * x1) * 0.10533579)))"
16,0.011478069,"x1 * cos(x1 * (cos((x0 * x1) * sin(x0)) * (x0 * 0.08569672)))"
17,0.011474434,"(cos((x1 * (x0 * cos((x1 * x0) * 0.7849204))) * 0.104464784) * x1) + -0.0029326866"
18,0.011467711,"x1 * (cos((x0 * (x1 * cos(x0 * (sin(x0) * x1)))) * 0.094754055) + 0.0018179852)"
20,0.011458327,"((cos(x1 * (cos(sin(x0) * (x0 * x1)) * (x0 * 0.09571939))) + 0.0018676111) * x1) - 0.0030754195"
