Complexity,Loss,Equation
1,38.614853,"0.028279139"
3,0.44790292,"x0 * -8.236133"
4,0.08947752,"sin(x0) * -9.796033"
6,0.08938918,"sin(x0 * 1.0076354) * -9.746783"
8,0.077532426,"((x1 * -0.005170847) - sin(x0)) * 9.799314"
10,0.07747146,"(-0.050602883 * x1) - (sin(x0 * 1.0063528) * 9.758233)"
12,0.0774658,"(x1 * -0.050602883) - ((sin(x0 * 1.0063528) * 9.758233) - 0.002376834)"
13,0.07736366,"(x1 * -0.050342716) - ((cos(x1 * 0.1335433) + 8.818688) * sin(x0))"
15,0.0771158,"(x1 * -0.050279915) - (sin(x0) * (cos((x0 * 0.17361888) * x1) + 8.829059))"
17,0.077094674,"(x1 * -0.049981) - ((cos(((x0 + 0.076649085) * x1) * 0.18115309) + 8.829794) * sin(x0))"
18,0.07708991,"(-0.05011131 * x1) - ((sin(1.2474043 * cos(x0 * (-0.24609387 * x1))) + 8.879727) * sin(x0))"
20,0.0769734,"((x1 + -0.049753293) * -0.05017335) - ((cos((x1 * x1) * sin(x0 * 0.06398526)) + 8.820458) * sin(x0))"
