Complexity,Loss,Equation
1,0.17947422,"-0.0045675067"
3,0.15344262,"x0 * -0.17379403"
4,0.11707938,"sin(x0) - x0"
6,0.043044914,"x0 * cos(x0 * 1.659704)"
8,0.034257278,"(-0.54478765 + cos(x0 * x0)) * x0"
10,0.03384334,"(cos((x0 * -1.0479696) * x0) + -0.49509248) * x0"
11,0.033138294,"x0 * ((cos(x1) * cos(x0 * x0)) + -0.53666914)"
12,0.032930553,"x0 * ((cos(x1) * cos(x0 * x0)) + sin(-0.53666914))"
13,0.030449789,"(x0 * (cos(x1) + ((x0 * -0.97673607) * x0))) * cos(x1)"
14,0.022125442,"((x0 * (x0 * -1.0549191)) + ((cos(x2) * 0.20784381) + 0.99810773)) * x0"
15,0.018912839,"((cos(x2) * 0.20640033) + (cos(x1) + (x0 * (x0 * -1.0153769)))) * x0"
16,0.0046212547,"(x0 + ((x0 * x0) * (x0 * -0.9966513))) + (cos(x2 * 1.205227) * 0.2571686)"
18,0.004550715,"((x0 + ((x0 * x0) * (x0 * -1.0030233))) * 0.9721021) + (cos(x2 * 1.205871) * 0.25434074)"
19,0.0041875686,"(x0 + ((cos(x1) * 0.28333506) * cos(x2 * 1.2049656))) + ((x0 * x0) * (x0 * -0.9980872))"
