Complexity,Loss,Equation
1,5.7378453e-5,"x1"
3,5.7313184e-5,"x1 + -0.0002555617"
5,5.7283105e-5,"-0.000261756 - (x1 * -0.99954796)"
7,5.7268287e-5,"x1 * cos(x1 - sin(x1))"
8,5.7254296e-5,"cos(x2 * -0.0018903344) * (x1 + -0.00021923118)"
9,5.7203917e-5,"(cos(x1 - sin(x1)) * x1) - 0.0002532006"
10,5.713569e-5,"(cos(x2 - (x1 * x2)) * 0.0012583446) + x1"
11,5.682278e-5,"x1 + sin(sin(x2 * (-0.5752406 - x1)) * 0.0010466812)"
12,5.6683133e-5,"(cos(((x2 + x2) * x1) - x2) * 0.0012223427) + x1"
13,5.6675763e-5,"x1 + (0.0012583446 * sin(cos(x2 - (x1 * (x2 + x2)))))"
14,5.66708e-5,"x1 + (0.0012583446 * sin(x2 + (1.6436406 - (x1 * (x2 + x2)))))"
15,5.6663608e-5,"x1 + (sin(sin((x2 + 1.6436406) - (x1 * (x2 + x2)))) * 0.0013942273)"
16,5.6530014e-5,"x1 + ((sin(((x2 + x2) * x1) - (x2 + 1.802592)) * -0.001288301) + -0.00038027947)"
18,5.6458623e-5,"(sin((x1 * (x2 + (x2 - x1))) - (x2 + 1.5652376)) * -0.0013331512) + (x1 + -0.0003983699)"
20,5.6425542e-5,"(sin((((x2 + x2) - (x1 + x1)) * x1) - (x2 + 1.4001327)) * -0.0013457282) + (x1 + -0.00042191395)"
