Complexity,Loss,Equation
1,0.17947422,"-0.0045674746"
3,0.153465,"x0 * -0.17368369"
4,0.11724349,"sin(x0) - x0"
6,0.041448023,"sin(x0 * 1.9804521) - x0"
7,0.03884084,"x0 * (0.9807714 - (x0 * x0))"
8,0.03557201,"x0 * (cos(x0 * x0) - 0.5433817)"
10,0.035082757,"(cos(-0.13935389 - (x0 * x0)) - 0.42351446) * x0"
11,0.034429673,"x0 * (((cos(x0) * cos(x1)) * 2.3335652) + -1.2299621)"
12,0.033642147,"(((cos(x0) * cos(sin(x1))) * 2.331461) + -1.2356133) * x0"
13,0.033293813,"((cos(x0) * (cos(sin(sin(x1))) * 2.3246248)) + -1.2376719) * x0"
14,0.01266168,"((x0 * cos(x0)) * 1.3864692) - (cos(cos(x2 * -0.7202893)) * x0)"
16,0.009109467,"((cos(x0) * (x0 * 1.3980461)) - (cos(cos(x2 * -0.7197697)) * x0)) * 1.169881"
17,0.008609891,"(((cos(x0) * x0) * 1.1786492) - (cos(cos(x2 * -0.7201309)) * sin(x0))) * 1.6748446"
18,0.008043296,"(((x0 * cos(x0)) - (x0 * -0.22328912)) - (x0 * cos(cos(x2 * -0.72013766)))) * 1.4377034"
19,0.008038173,"(((x0 * cos(x0)) - sin(x0 * -0.22521535)) - (x0 * cos(cos(x2 * -0.7201312)))) * 1.4341792"
