Complexity,Loss,Equation
1,7.1016e-7,"x1"
3,7.0123343e-7,"x1 * 0.99993587"
5,7.0119194e-7,"(x1 - -6.324258e-6) * 0.99993587"
6,6.807428e-7,"x1 * cos(x1 * 0.004764215)"
8,6.722346e-7,"cos((x1 * x1) * -0.0014113238) * x1"
10,6.6579344e-7,"x1 + ((x1 * (x1 * 9.3262235e-5)) * sin(x1))"
11,6.6530924e-7,"x1 - ((x1 * -0.00010056149) * (sin(sin(x1)) * x1))"
12,6.6249567e-7,"x1 - (x1 * ((sin(x1 * 1.0675441) * -7.729917e-5) * x1))"
13,6.578201e-7,"x1 - (((((x0 - x1) * x1) - -1.0719502) * -8.9724876e-5) * x0)"
15,6.548251e-7,"x1 - (((x1 * ((1.3418379 * x0) - x1)) - -1.1320812) * (x0 * -0.000100097386))"
17,6.5249515e-7,"x1 - (((((((x0 + 0.24614441) * 1.3418379) - x1) * x1) - -1.1320812) * x0) * -0.000100097386)"
