Complexity,Loss,Equation
1,0.0009010949,"x1"
3,0.0009002397,"x1 - -0.0009225458"
5,0.0008994835,"(x1 * 0.99941397) + 0.0009139706"
7,0.00089915004,"x1 * ((x0 * -0.00074177794) - -0.9993845)"
8,0.0008937529,"(sin(x1 * -8.722411) * -0.0039646034) + x1"
10,0.0008843414,"(sin((x0 - x1) * 4.5973864) * -0.0069183926) + x1"
12,0.000837903,"x1 - (sin(((x1 * x0) * x0) * 8.184466) * -0.011704652)"
13,0.0008372969,"x1 - (sin(sin((x1 * x0) * (x0 * -8.158639))) * 0.013486059)"
14,0.00070970773,"(sin(x1 * ((x0 * (x0 * -6.64155)) + -3.9793956)) * -0.023748277) + x1"
15,0.00070676056,"x1 + (sin(sin(x1 * (((x0 * x0) * -6.6394043) + -3.992537))) * -0.02672027)"
16,0.0007054331,"x1 - (sin(sin(sin(x1 * ((x0 * (x0 * -6.640574)) + -3.997596)))) * 0.029077778)"
17,0.00070543255,"x1 - sin(sin(sin(sin(x1 * ((x0 * (x0 * -6.640574)) + -3.997596)))) * 0.029077778)"
18,0.00069478987,"x1 + (sin(x1 * ((x0 * (x0 * -6.637967)) + -3.97745)) * (cos(cos(x0)) * -0.02730477))"
19,0.0006637312,"((sin((((x0 * x0) * -6.6495433) + -3.9955885) * x1) * -0.03116766) * cos(x1 * 0.4536536)) + x1"
