Complexity,Loss,Equation
1,0.005513635,"x1"
3,0.005504781,"x1 * 0.9979903"
5,0.0055047297,"(x1 * 0.9979888) + 0.00022584613"
6,0.0055012256,"cos(x0 * 0.058741637) * x1"
7,0.0054857065,"x1 * cos(sin(x1) * 0.12577026)"
8,0.005483178,"x1 * cos(sin(sin(x1)) * -0.14502293)"
9,0.0054508094,"cos((sin(x1) - x0) * -0.07133456) * x1"
10,0.005416186,"cos((x0 - (x1 * 0.3908739)) * -0.10922037) * x1"
11,0.0054063867,"cos(x0 * ((sin(x1) - x0) * 0.062249485)) * x1"
12,0.0047878316,"x1 - ((x0 * cos((x1 * 6.7407117) * x0)) * -0.02681122)"
13,0.0046309303,"x1 - (sin(x0 * cos(x1 * (x0 * 2.3560588))) * 0.0548963)"
14,0.004615667,"x1 - (sin(sin(x0 * cos(x1 * (x0 * 2.3283513)))) * 0.061810184)"
15,0.0044401246,"x1 - (sin(cos(x1 * (x0 * (x1 - x0))) * x0) * 0.064054616)"
16,0.0043982584,"x1 - (sin(sin(cos(x0 * ((x1 - x0) * x1)) * x0)) * 0.07268236)"
17,0.004273569,"x1 - (sin(cos((x1 - x0) * ((x0 * -1.1098832) * x1)) * x0) * 0.07268236)"
18,0.004236048,"x1 - (sin(cos((x1 * x0) * (x0 - x1)) * (sin(x0) + x0)) * 0.062108964)"
20,0.0040810104,"x1 - (sin(cos(((x1 * x0) * (x0 - x1)) * -1.0631813) * (sin(x0) + x0)) * 0.062108256)"
