Complexity,Loss,Equation
1,10.1782055,"0.10351193"
3,8.291861,"x0 * -0.9345416"
4,7.950297,"x1 * cos(x0)"
6,5.8144784,"x1 * cos(x0 * 1.7607299)"
7,4.264149,"(1.0537907 - (x0 * x0)) * x1"
8,3.1808832,"(cos(x0 * 1.6738437) * x1) * 2.6062477"
9,2.2121854,"(x1 * (1.0393595 - (x0 * x0))) - x0"
10,1.1169688,"(x1 * (cos(x0 * 1.6721003) * 2.6397116)) - x0"
11,0.26295963,"((x1 * ((x0 * x0) + -1.0084208)) * -1.9712338) - x0"
12,0.26003242,"((x1 * (cos(x0 * -0.45400733) + -0.8995366)) * 20.137922) - x0"
14,0.2596579,"(((cos(x0 * -0.46084931) + -0.8965783) * 19.571314) * x1) - (x0 + -0.01941018)"
16,0.25111213,"(x1 + (((sin(x1) * -0.07428123) - x0) * ((x0 * x1) + 0.5115929))) * 1.9335"
17,0.25111204,"(((sin(sin(x1) * -0.07432781) - x0) * ((x0 * x1) + 0.51159596)) + x1) * 1.9335153"
18,0.24967656,"((((x0 * x1) + 0.5089475) * ((sin(x1 * 0.9326088) * -0.09677233) - x0)) + x1) * 1.9151531"
20,0.24933052,"(x1 + (((sin((x1 - -0.08284226) * 0.93410313) * -0.09641105) - x0) * ((x0 * x1) + 0.509082))) * 1.9154559"
