Complexity,Loss,Equation
1,8.395394e-11,"x1"
3,8.392627e-11,"x1 - -1.4854595e-7"
5,8.301301e-11,"(x1 + 3.7657828e-6) * 0.99999595"
7,8.300771e-11,"(x1 * -4.01482e-6) + (x1 - -3.7610453e-6)"
8,8.29166e-11,"(sin(x1) * -5.2017936e-6) + (x1 - -4.1180506e-6)"
9,8.2302214e-11,"(x1 + 7.1152554e-6) * ((x1 * 2.0007948e-5) + 0.99997276)"
11,8.230159e-11,"((((x1 * x1) * 2.0007948e-5) + x1) + 7.1152554e-6) * 0.99997276"
13,8.229632e-11,"((x1 - -7.139393e-6) + (x1 * (x1 * 1.8895924e-5))) + (x1 * -2.618976e-5)"
14,8.2102665e-11,"(sin(sin(sin(x1 * 3.1895354) + x1)) * -1.3141672e-5) + (x1 + 9.4933675e-6)"
15,8.2031895e-11,"x1 + (9.071311e-6 + (sin(sin(sin(sin(x1 * 3.141611) + x1))) * -1.3482804e-5))"
16,8.1812924e-11,"(x1 + (sin(sin(x1 + (sin(x1 * 4.301439) + x1))) * -1.6460634e-5)) + 1.2587154e-5"
17,8.1732426e-11,"(x1 + 1.2220659e-5) + (sin(sin(sin(x1 + (sin(x1 * 3.8808212) + x1)))) * -1.672342e-5)"
18,8.128581e-11,"(x1 + 2.071133e-5) + (sin(sin(x1 + ((x1 + sin(x1 * 4.535293)) + 0.36472607))) * -2.5047491e-5)"
19,8.11654e-11,"(x1 + 2.8445696e-5) + (sin(sin(sin(x1 + (sin(x1 * 5.406276) + (x1 + 0.3510206))))) * -3.8717586e-5)"
20,8.077351e-11,"(x1 + 2.8335311e-5) + (sin(sin(sin(x1 + (sin(sin(x1) * 5.406276) + (x1 + 0.3510206))))) * -3.8735485e-5)"
