Complexity,Loss,Equation
1,0.00014137672,"x1"
3,0.00014125797,"x1 + 0.00034420006"
5,0.00014123479,"(x1 * 0.9993661) + 0.0009209251"
6,0.00014119782,"x1 + (cos(x1) * 0.000698786)"
7,0.00013879297,"x1 * ((x1 * -0.024510171) + 1.0245103)"
8,0.00011791593,"cos(x1 - 0.78125155) * (x1 - -0.023766765)"
9,8.020867e-5,"x1 - (((x1 * x0) - x0) * 0.03413934)"
10,7.8325225e-5,"x1 - (sin(x0 - (x0 * x1)) * -0.036101684)"
11,5.230227e-5,"x1 - ((x1 * (x0 - (x1 * x0))) * -0.049463436)"
12,5.1437666e-5,"x1 - ((sin(x0 - (x1 * x0)) * x1) * -0.05131477)"
13,4.7860045e-5,"x1 - (x1 * (((x0 - (x0 * x1)) * x1) * -0.05191634))"
14,4.705512e-5,"x1 - (x1 * (x1 * (sin(x0 - (x1 * x0)) * -0.05380945)))"
15,4.620684e-5,"x1 - (((x1 + -0.5061194) * (x1 * -0.106945276)) * (x0 - (x0 * x1)))"
16,4.4858058e-5,"x1 - ((sin(x0 - (x0 * (x1 * x1))) * (x1 * x1)) * -0.029858967)"
17,4.1915835e-5,"x1 * (cos(0.74341774 - cos((x1 * (x1 * x1)) * (x1 * x1))) + 0.02166683)"
18,4.1775973e-5,"x1 * (cos(sin(0.74341774 - cos((x1 * x1) * ((x1 * x1) * x1)))) + 0.02166683)"
19,4.127186e-5,"(cos(((x1 * cos((x1 * x1) * (x1 * 1.5270419))) * x1) - 0.22765785) + 0.01804658) * x1"
20,4.115425e-5,"(cos(sin(((cos((x1 * x1) * (x1 * 1.5275617)) * x1) * x1) - 0.22892168)) + 0.018050281) * x1"
