Complexity,Loss,Equation
1,0.0065076225,"0.033340655"
4,0.0054715425,"cos(x1) * 0.07656969"
5,0.0007787193,"(1.0060261 - x1) * x1"
7,0.0004408176,"x1 * (1.2875029 - (x1 * 1.2851168))"
8,0.00043875066,"(x1 * 1.3530618) * cos(x1 - -0.56927866)"
9,0.0004007525,"(((x1 * -1.1844662) - -1.151576) * x1) + 0.03562305"
10,0.00034178948,"(((cos(x1) * 1.636265) - 0.9514569) * x1) + 0.06940436"
11,0.00033404375,"(((cos(x1) * 1.7962871) - 1.0400804) * sin(x1)) + 0.060753107"
12,0.00032168766,"(sin(x1) * sin((cos(x1) - 0.5817747) * 1.8545316)) + 0.06666399"
13,0.00026504108,"(x1 * (cos(x1) - 0.5374102)) * (cos(x0 * 0.17072228) + 0.94918346)"
14,0.00026106348,"sin((cos(x0 * 0.17098092) + 0.9828163) * (x1 * (cos(x1) - 0.53771085)))"
15,0.00011646492,"(((cos(x1) - 0.6249072) * x1) + 0.08909308) * (cos(x0 * 0.17519233) + x1)"
16,9.813086e-5,"(((cos(x1) - 0.6249072) * x1) + 0.08909308) * (cos(x0 * 0.17519233) + sin(x1))"
17,9.740206e-5,"(((cos(x1) - 0.6249072) * x1) + 0.08909308) * (cos(x0 * 0.17519233) + sin(sin(x1)))"
18,9.177524e-5,"(sin(x1) + cos((x0 + 1.9529408) * 0.1515871)) * ((cos(x1) - 0.53814286) * (x1 + 0.1735477))"
19,9.032592e-5,"sin(((sin(x1) + cos((x0 + 1.6912166) * -0.15898071)) * (cos(x1) - 0.5374232)) * (x1 + 0.17714043))"
20,8.825759e-5,"sin((sin(sin(x1)) + cos((x1 + x0) * -0.16527201)) * (cos(x1) - 0.537138)) * (x1 + 0.17754517)"
