Complexity,Loss,Equation
1,1187.2792,"x1"
3,1121.1226,"x1 - x0"
5,34.75221,"(x1 - x0) * 9.717216"
7,34.652298,"(x1 - (x0 * 0.99601537)) * 9.717969"
9,34.64063,"((x1 - (x0 * 0.99562263)) * 9.718053) + 0.112225525"
12,34.015663,"((x1 - x0) * 9.623814) + sin((x0 + x2) * -0.17412126)"
14,33.62291,"((x1 - x0) * 9.459091) + ((sin(x2 * -0.10432285) * x0) * -0.3092947)"
16,32.77071,"sin(x0 + (((x0 + x2) - x1) * 0.7848663)) + ((x1 - x0) * 9.705054)"
19,29.281193,"((x0 * (sin(x2 * -0.107160226) + cos(x0 * 0.15143824))) * -1.320753) + ((x1 - x0) * 8.608866)"
20,28.992716,"((x0 * -1.320753) * (sin(x2 * -0.107160226) + sin(cos(x0 * 0.15143824)))) + ((x1 - x0) * 8.608866)"
