Complexity,Loss,Equation
1,4709.656,"0.6763557"
2,4705.105,"sin(x0)"
4,4673.599,"cos(x0) * x1"
5,423.68826,"(x1 * x0) + -65.703636"
7,26.457026,"(x1 * x0) - (x2 * 2.6642325)"
9,26.21411,"((x1 * (x0 * 0.37535393)) - x2) * 2.6451042"
11,26.18743,"((x1 * 0.99290186) * x0) + (-0.5559015 - (x2 * 2.6246228))"
13,26.169575,"(2.6246383 * ((x0 * (x1 * 0.37831107)) - x2)) - cos(cos(x0))"
15,26.12853,"((((x1 * 0.37831107) * x0) + (0.0773179 - x2)) * 2.6246383) - cos(cos(x0))"
16,26.017921,"(((x0 * x1) + -0.68114173) * ((sin(x0) * -0.0060780314) + 0.9936408)) - (x2 * 2.6214821)"
18,25.946516,"(((x1 * x0) + -0.6914233) * ((sin(x0 + 0.56350195) * -0.0072895973) + 0.99376327)) - (x2 * 2.6214323)"
