Complexity,Loss,Equation
1,63.71256,"-0.031916473"
2,63.50687,"cos(x1)"
3,60.64584,"x0 * 0.429912"
4,53.100887,"x2 * cos(x1)"
5,0.038282666,"(x0 + -5.6838255) * x2"
7,4.3557902e-5,"((x0 + -5.699995) * x2) + 0.20002203"
9,2.272759e-5,"((x0 + -5.699998) * (x2 * 0.9994287)) + 0.19988741"
11,2.2139113e-5,"(((0.99940604 * x2) - -0.00020098718) * (x0 + -5.700084)) + 0.2010368"
12,1.5441827e-5,"(x2 * (x0 + ((cos(x1) * -0.0042612585) + -5.6985283))) + 0.19963259"
13,3.4024044e-6,"(((x0 + -5.6999974) * x2) + 0.20004205) * ((x2 * -0.000102959064) + 1.0007657)"
15,3.4020459e-6,"(((((x2 * -0.000103047714) + 1.0007677) * x2) - 4.9633063e-6) * (x0 + -5.7000155)) + 0.20016696"
16,3.3390475e-6,"((x2 * (x0 + -5.7000403)) * (((sin(x0) + x2) * -9.521746e-5) + 1.0006657)) + 0.20016238"
17,3.326079e-6,"((((x1 * -2.8318966e-5) + ((x2 * -0.00010079325) + 1.0007523)) * (x0 + -5.700098)) * x2) + 0.20015506"
18,3.2840192e-6,"(((((sin(x0 * 0.3578912) + x2) * -9.611819e-5) + 1.0006797) * x2) * (x0 + -5.700078)) + 0.20018426"
